image,damage,damage_label,psnr,ssim,edge_ssim,deltaE00,hist_intersection,lpips,clip_cosine,panel_path,restore_error
div2k_0002,awgn,Additive Gaussian Noise,18.986167776403207,0.737302839756012,0.48256644205474336,10.542413711547852,0.3914845784505009,0.19316084682941437,0.9822566509246826,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0002_awgn_panel.jpg,
div2k_0002,pgauss,Poisson-Gaussian Noise,22.01128138595795,0.7257949709892273,0.1894495961825585,7.3398284912109375,0.41520690917966635,0.29709115624427795,0.9542430639266968,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0002_pgauss_panel.jpg,
div2k_0002,speckle,Speckle Noise,20.769309215870557,0.7310855984687805,0.341822644145312,7.540929794311523,0.449651082356748,0.21739992499351501,0.9857531189918518,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0002_speckle_panel.jpg,
div2k_0002,snp,Salt & Pepper Noise,21.81584710577083,0.47775962948799133,0.08553628513650949,6.728080749511719,0.6012115478515319,0.47606438398361206,0.8796697854995728,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0002_snp_panel.jpg,
div2k_0002,jpeg,JPEG Compression Artifacts,20.88138867541664,0.6239234805107117,0.2869180743883101,7.65655517578125,0.3998362223307088,0.49434518814086914,0.8993956446647644,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0002_jpeg_panel.jpg,
div2k_0002,scratch,Scratches,,,,,,,,,No image after 10 attempts: None
div2k_0002,tear,Torn Region,17.150892893428708,0.5782278180122375,0.3927535934017719,9.592618942260742,0.6982014973957978,0.31751132011413574,0.9734978079795837,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0002_tear_panel.jpg,
div2k_0002,faded,Faded Colors,17.55461614644137,0.71027010679245,0.5128007206398745,12.259428977966309,0.15768432617186695,0.2341826856136322,0.9565907120704651,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0002_faded_panel.jpg,
div2k_0002,blur,Blurred Image,24.93394796410618,0.8200591206550598,0.4588410655471129,4.1488261222839355,0.7603810628254821,0.2295815646648407,0.9690533876419067,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0002_blur_panel.jpg,
div2k_0003,awgn,Additive Gaussian Noise,19.572359119968713,0.5103252530097961,0.17257367253920333,10.064136505126953,0.575901340793881,0.48077428340911865,0.8874417543411255,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0003_awgn_panel.jpg,
div2k_0003,pgauss,Poisson-Gaussian Noise,17.72374469905924,0.41866278648376465,0.1267400683474585,12.897425651550293,0.5016166068411831,0.5766708254814148,0.841195821762085,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0003_pgauss_panel.jpg,
div2k_0003,speckle,Speckle Noise,20.624179971003144,0.6402557492256165,0.279316462220441,7.119081020355225,0.6801427892736036,0.2203989326953888,0.9811861515045166,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0003_speckle_panel.jpg,
div2k_0003,snp,Salt & Pepper Noise,21.24001357335231,0.6652042865753174,0.28113556229456527,6.637156963348389,0.6695325696790099,0.19284047186374664,0.9908847212791443,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0003_snp_panel.jpg,
div2k_0003,jpeg,JPEG Compression Artifacts,14.768375066475869,0.30508121848106384,0.08307317337541928,13.191987037658691,0.5445721600506397,0.3912782073020935,0.966327428817749,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0003_jpeg_panel.jpg,
div2k_0003,scratch,Scratches,19.244130451908205,0.5595055818557739,0.10176013312938793,7.673613548278809,0.7719066722972463,0.23636788129806519,0.9799785614013672,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0003_scratch_panel.jpg,
div2k_0003,tear,Torn Region,14.185508358630955,0.22552837431430817,0.060413439232011874,13.55566120147705,0.7706331820100842,0.3236425220966339,0.988814115524292,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0003_tear_panel.jpg,
div2k_0003,faded,Faded Colors,12.798678376387052,0.22149449586868286,0.08520180754728202,20.43888282775879,0.07188951646958984,0.4828951358795166,0.9193006157875061,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0003_faded_panel.jpg,
div2k_0003,blur,Blurred Image,19.002099761871428,0.5313900709152222,0.07763783552345285,8.012971878051758,0.6989614125844132,0.4095918834209442,0.9573203325271606,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0003_blur_panel.jpg,
div2k_0004,awgn,Additive Gaussian Noise,17.73167913289398,0.23763447999954224,0.009285433249976742,9.926838874816895,0.7145741780598595,0.5274085402488708,0.9346733689308167,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0004_awgn_panel.jpg,
div2k_0004,pgauss,Poisson-Gaussian Noise,17.511007081902193,0.3581494390964508,0.07835224647244475,10.064676284790039,0.42218526204424933,0.4009202718734741,0.9445475339889526,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0004_pgauss_panel.jpg,
div2k_0004,speckle,Speckle Noise,18.02881257383841,0.36767497658729553,0.07737098373798106,8.962516784667969,0.5608215332030965,0.3414458632469177,0.9592424035072327,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0004_speckle_panel.jpg,
div2k_0004,snp,Salt & Pepper Noise,17.437908060156172,0.39066269993782043,0.0895155422188541,10.032756805419922,0.4852905273437253,0.34831133484840393,0.9578447341918945,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0004_snp_panel.jpg,
div2k_0004,jpeg,JPEG Compression Artifacts,15.301479548952436,0.16136647760868073,0.06364339850776186,12.13532543182373,0.6215667724609059,0.45813894271850586,0.959458589553833,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0004_jpeg_panel.jpg,
div2k_0004,scratch,Scratches,19.57112633735355,0.42722567915916443,0.09493669752875085,6.9427313804626465,0.8546447753905816,0.264865517616272,0.9819289445877075,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0004_scratch_panel.jpg,
div2k_0004,tear,Torn Region,18.918855684819714,0.3519517183303833,0.0669585133645557,7.4087815284729,0.8785349527994344,0.2636333107948303,0.9872381687164307,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0004_tear_panel.jpg,
div2k_0004,faded,Faded Colors,17.61605565579395,0.423545241355896,0.1065221463536489,10.853123664855957,0.3675486246744605,0.32188230752944946,0.9176043272018433,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0004_faded_panel.jpg,
div2k_0004,blur,Blurred Image,22.813133025465334,0.6000545620918274,0.09390424684605998,5.18222188949585,0.8523915608723526,0.3610451817512512,0.964773416519165,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0004_blur_panel.jpg,
